Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CYP27A1	gene	CYP27A1	South West GLH;London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			Unknown	Cerebrotendinous xanthomatosis, CTX, 213700	606530						2		1.58			ENSG00000135929	ENSG00000135929	HGNC:2605													
DMPK	gene	DMPK	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Myotonic dystrophy 1, 16090	605377						2		1.58			ENSG00000104936	ENSG00000104936	HGNC:2933													
DNAJC5	gene	DNAJC5	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Ceroid lipofuscinosis, neuronal, 4, Parry type, 162350	611203						2		1.58			ENSG00000101152	ENSG00000101152	HGNC:16235													
EIF2AK2	gene	EIF2AK2	Expert Review Amber;Literature	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome, 618877	176871			32197074			2		1.58			ENSG00000055332	ENSG00000055332	HGNC:9437													
ELOVL4	gene	ELOVL4	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Ichthyosis, spastic quadriplegia, and mental retardation, 614457	605512						2		1.58			ENSG00000118402	ENSG00000118402	HGNC:14415													
FGF14	gene	FGF14	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 27, 609307	601515						2		1.58			ENSG00000102466	ENSG00000102466	HGNC:3671													
FOXG1	gene	FOXG1	Expert Review Amber;South West GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Rett Syndrome, congenital variant, 613454	164874						2		1.58			ENSG00000176165	ENSG00000176165	HGNC:3811													
GRID2	gene	GRID2	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 18, 616204	602368						2		1.58			ENSG00000152208	ENSG00000152208	HGNC:4576													
GRM1	gene	GRM1	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spinocerebellar ataxia 44, 617691;Spinocerebellar ataxia, autosomal recessive 13, 614831	604473						2		1.58			ENSG00000152822	ENSG00000152822	HGNC:4593													
HNRNPH1	gene	HNRNPH1	Expert Review Amber;Literature	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	HNRNPH1-related neurodevelopmental disorder	601035			29938792;32335897			2		1.58			ENSG00000169045	ENSG00000169045	HGNC:5041													
HPRT1	gene	HPRT1	Expert Review Amber;South West GLH;London North GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Lesch-Nyhan syndrome, 300322	308000						2		1.58			ENSG00000165704	ENSG00000165704	HGNC:5157													
ITPR1	gene	ITPR1	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 15, 606658	147265						2		1.58			ENSG00000150995	ENSG00000150995	HGNC:6180													
KCNC3	gene	KCNC3	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 13, 605259	176264						2		1.58			ENSG00000131398	ENSG00000131398	HGNC:6235													
KCND3	gene	KCND3	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 19, 607346	605411						2		1.58			ENSG00000171385	ENSG00000171385	HGNC:6239													
L2HGDH	gene	L2HGDH	Expert Review Amber;South West GLH;London North GLH	Childhood onset dystonia or chorea or related movement disorder			Unknown	L-2-hydroxyglutaric aciduria, 236792	609584						2		1.58			ENSG00000087299	ENSG00000087299	HGNC:20499													
NDUFA2	gene	NDUFA2	Expert Review Amber;PanelApp;South West GLH;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 13	602137			18513682			2		1.58			ENSG00000131495	ENSG00000131495	HGNC:7685													
NOP56	gene	NOP56	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 36, 614153	614154						2		1.58			ENSG00000101361	ENSG00000101361	HGNC:15911													
PCDH12	gene	PCDH12	Expert Review Amber;South West GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	perithalamic hyperechogenicity;midbrain abnormalities;microcephaly;hypothalamic abnormalities;intellectual disability;periventricular hyperechogenicity. Microcephaly, seizures, spasticity, and brain calcification, 251280;epilepsy	605622						2		1.58			ENSG00000113555	ENSG00000113555	HGNC:8657													
PDYN	gene	PDYN	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder				Spinocerebellar ataxia 23, 610245	131340						2		1.58			ENSG00000101327	ENSG00000101327	HGNC:8820													
PLP1	gene	PLP1	Expert Review Amber;South West GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Spastic paraplegia 2, X-linked, 312920;Pelizaeus-Merzbacher disease, 312080	300401						2		1.58			ENSG00000123560	ENSG00000123560	HGNC:9086													
PPP2R2B	gene	PPP2R2B	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 12, 604326	604325						2		1.58			ENSG00000156475	ENSG00000156475	HGNC:9305													
PRKCG	gene	PRKCG	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 14, 605361	176980						2		1.58			ENSG00000126583	ENSG00000126583	HGNC:9402													
RNASEH2A	gene	RNASEH2A	Expert Review Amber;South West GLH;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 4, 610333	606034						2		1.58			ENSG00000104889	ENSG00000104889	HGNC:18518													
SACS	gene	SACS	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spastic ataxia, Charlevoix-Saguenay type, 270550	604490						2		1.58			ENSG00000151835	ENSG00000151835	HGNC:10519													
SCN1A	gene	SCN1A	PanelApp;London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dravet syndrome;familial hemiplegic migraine 3;several epilepsy, convulsion and migraine disorders.	182389			19332696;16054936			2		1.58			ENSG00000144285	ENSG00000144285	HGNC:10585													
SIL1	gene	SIL1	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Marinesco-Sjogren syndrome, 248800	608005						2		1.58			ENSG00000120725	ENSG00000120725	HGNC:24624													
SLC1A3	gene	SLC1A3	PanelApp;London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	EPISODIC ATAXIA, TYPE 6	600111			19139306;16116111;27829685			2		1.58			ENSG00000079215	ENSG00000079215	HGNC:10941													
SLC6A5	gene	SLC6A5	PanelApp;London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hyperekplexia 3, 614618	604159			16751771			2		1.58			ENSG00000165970	ENSG00000165970	HGNC:11051													
SNX14	gene	SNX14	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 20, 616354	616105						2		1.58			ENSG00000135317	ENSG00000135317	HGNC:14977													
SPG7	gene	SPG7	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic paraplegia 7, 607259	602783						2		1.58			ENSG00000197912	ENSG00000197912	HGNC:11237													
STUB1	gene	STUB1	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 16, 615768	607207						2		1.58			ENSG00000103266	ENSG00000103266	HGNC:11427													
TGM6	gene	TGM6	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 35, 613908	613900						2		1.58			ENSG00000166948	ENSG00000166948	HGNC:16255													
TMEM240	gene	TMEM240	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 21, 607454	616101						2		1.58			ENSG00000205090	ENSG00000205090	HGNC:25186													
TPP1	gene	TPP1	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 7, 609270	607998						2		1.58			ENSG00000166340	ENSG00000166340	HGNC:2073													
TTBK2	gene	TTBK2	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 11, 604432	611695						2		1.58			ENSG00000128881	ENSG00000128881	HGNC:19141													
WFS1	gene	WFS1	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Wolfram syndrome 1, 222300	606201						2		1.58			ENSG00000109501	ENSG00000109501	HGNC:12762													
WWOX	gene	WWOX	London North GLH;Expert Review Amber	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 12, 614322	605131						2		1.58			ENSG00000186153	ENSG00000186153	HGNC:12799													
AARS2	gene	AARS2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					612035						1		1.58			ENSG00000124608	ENSG00000124608	HGNC:21022													
ABCA1	gene	ABCA1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					600046						1		1.58			ENSG00000165029	ENSG00000165029	HGNC:29													
ABCB11	gene	ABCB11	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					603201						1		1.58			ENSG00000073734	ENSG00000073734	HGNC:42													
ABCB4	gene	ABCB4	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					171060						1		1.58			ENSG00000005471	ENSG00000005471	HGNC:45													
ABCD1	gene	ABCD1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					300371						1		1.58			ENSG00000101986	ENSG00000101986	HGNC:61													
ABCD4	gene	ABCD4	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					603214						1		1.58			ENSG00000119688	ENSG00000119688	HGNC:68													
ABCG5	gene	ABCG5	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					605459						1		1.58			ENSG00000138075	ENSG00000138075	HGNC:13886													
ABCG8	gene	ABCG8	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					605460						1		1.58			ENSG00000143921	ENSG00000143921	HGNC:13887													
ABHD12	gene	ABHD12	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					613599						1		1.58			ENSG00000100997	ENSG00000100997	HGNC:15868													
ABHD5	gene	ABHD5	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604780						1		1.58			ENSG00000011198	ENSG00000011198	HGNC:21396													
ACAD8	gene	ACAD8	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604773						1		1.58			ENSG00000151498	ENSG00000151498	HGNC:87													
ACAD9	gene	ACAD9	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					611103						1		1.58			ENSG00000177646	ENSG00000177646	HGNC:21497													
ACADM	gene	ACADM	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					607008						1		1.58			ENSG00000117054	ENSG00000117054	HGNC:89													
ACADS	gene	ACADS	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606885						1		1.58			ENSG00000122971	ENSG00000122971	HGNC:90													
ACADSB	gene	ACADSB	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					600301						1		1.58			ENSG00000196177	ENSG00000196177	HGNC:91													
ACADVL	gene	ACADVL	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					609575						1		1.58			ENSG00000072778	ENSG00000072778	HGNC:92													
ACAT1	gene	ACAT1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					607809						1		1.58			ENSG00000075239	ENSG00000075239	HGNC:93													
ACO2	gene	ACO2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					100850						1		1.58			ENSG00000100412	ENSG00000100412	HGNC:118													
ACY1	gene	ACY1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					104620						1		1.58			ENSG00000243989	ENSG00000243989	HGNC:177													
ADA	gene	ADA	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608958						1		1.58			ENSG00000196839	ENSG00000196839	HGNC:186													
ADGRG1	gene	ADGRG1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604110						1		1.58			ENSG00000205336	ENSG00000205336	HGNC:4512													
ADSL	gene	ADSL	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608222						1		1.58			ENSG00000239900	ENSG00000239900	HGNC:291													
AGA	gene	AGA	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					613228						1		1.58			ENSG00000038002	ENSG00000038002	HGNC:318													
AGK	gene	AGK	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610345						1		1.58			ENSG00000006530	ENSG00000006530	HGNC:21869													
AGL	gene	AGL	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610860						1		1.58			ENSG00000162688	ENSG00000162688	HGNC:321													
AGPS	gene	AGPS	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					603051						1		1.58			ENSG00000018510	ENSG00000018510	HGNC:327													
AGXT	gene	AGXT	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604285						1		1.58			ENSG00000172482	ENSG00000172482	HGNC:341													
AHI1	gene	AHI1	PanelApp;Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.	608894						1		1.58			ENSG00000135541	ENSG00000135541	HGNC:21575													
AIFM1	gene	AIFM1	South West GLH;Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Combined oxidative phosphorylation deficiency 6 300816	300169						1		1.58			ENSG00000156709	ENSG00000156709	HGNC:8768													
AKR1D1	gene	AKR1D1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604741						1		1.58			ENSG00000122787	ENSG00000122787	HGNC:388													
ALAD	gene	ALAD	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					125270						1		1.58			ENSG00000148218	ENSG00000148218	HGNC:395													
ALAS2	gene	ALAS2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					301300						1		1.58			ENSG00000158578	ENSG00000158578	HGNC:397													
ALDH3A2	gene	ALDH3A2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					609523						1		1.58			ENSG00000072210	ENSG00000072210	HGNC:403													
ALDH4A1	gene	ALDH4A1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606811						1		1.58			ENSG00000159423	ENSG00000159423	HGNC:406													
ALDH5A1	gene	ALDH5A1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610045						1		1.58			ENSG00000112294	ENSG00000112294	HGNC:408													
ALDH6A1	gene	ALDH6A1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					603178						1		1.58			ENSG00000119711	ENSG00000119711	HGNC:7179													
ALDH7A1	gene	ALDH7A1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					107323						1		1.58			ENSG00000164904	ENSG00000164904	HGNC:877													
ALDOA	gene	ALDOA	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					103850						1		1.58			ENSG00000149925	ENSG00000149925	HGNC:414													
ALDOB	gene	ALDOB	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					612724						1		1.58			ENSG00000136872	ENSG00000136872	HGNC:417													
ALG1	gene	ALG1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					605907						1		1.58			ENSG00000033011	ENSG00000033011	HGNC:18294													
ALG11	gene	ALG11	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					613666						1		1.58			ENSG00000253710	ENSG00000253710	HGNC:32456													
ALG12	gene	ALG12	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					607144						1		1.58			ENSG00000182858	ENSG00000182858	HGNC:19358													
ALG13	gene	ALG13	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					300776						1		1.58			ENSG00000101901	ENSG00000101901	HGNC:30881													
ALG3	gene	ALG3	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608750						1		1.58			ENSG00000214160	ENSG00000214160	HGNC:23056													
ALG6	gene	ALG6	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604566						1		1.58			ENSG00000088035	ENSG00000088035	HGNC:23157													
ALG8	gene	ALG8	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608103						1		1.58			ENSG00000159063	ENSG00000159063	HGNC:23161													
ALG9	gene	ALG9	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606941						1		1.58			ENSG00000086848	ENSG00000086848	HGNC:15672													
ALMS1	gene	ALMS1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606844						1		1.58			ENSG00000116127	ENSG00000116127	HGNC:428													
ALPL	gene	ALPL	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					171760						1		1.58			ENSG00000162551	ENSG00000162551	HGNC:438													
AMACR	gene	AMACR	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604489						1		1.58			ENSG00000242110	ENSG00000242110	HGNC:451													
AMN	gene	AMN	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					605799						1		1.58			ENSG00000166126	ENSG00000166126	HGNC:14604													
AMPD2	gene	AMPD2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					102771						1		1.58			ENSG00000116337	ENSG00000116337	HGNC:469													
AMT	gene	AMT	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					238310						1		1.58			ENSG00000145020	ENSG00000145020	HGNC:473													
ANKS6	gene	ANKS6	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					615370						1		1.58			ENSG00000165138	ENSG00000165138	HGNC:26724													
APOA1	gene	APOA1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					107680						1		1.58			ENSG00000118137	ENSG00000118137	HGNC:600													
APOA5	gene	APOA5	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606368						1		1.58			ENSG00000110243	ENSG00000110243	HGNC:17288													
APOB	gene	APOB	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					107730						1		1.58			ENSG00000084674	ENSG00000084674	HGNC:603													
APOC2	gene	APOC2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608083						1		1.58			ENSG00000234906	ENSG00000234906	HGNC:609													
APOE	gene	APOE	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					107741						1		1.58			ENSG00000130203	ENSG00000130203	HGNC:613													
APOPT1	gene	APOPT1	Expert Review Red;London North GLH;Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					616003						1		1.58			ENSG00000256053	ENSG00000256053	HGNC:20492													
APRT	gene	APRT	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					102600						1		1.58			ENSG00000198931	ENSG00000198931	HGNC:626													
ARG1	gene	ARG1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608313						1		1.58			ENSG00000118520	ENSG00000118520	HGNC:663													
ARL13B	gene	ARL13B	PanelApp;Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 8	608922			25138100;18674751			1		1.58			ENSG00000169379	ENSG00000169379	HGNC:25419													
ARL6	gene	ARL6	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608845						1		1.58			ENSG00000113966	ENSG00000113966	HGNC:13210													
ARSB	gene	ARSB	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					611542						1		1.58			ENSG00000113273	ENSG00000113273	HGNC:714													
ARSE	gene	ARSE	Expert Review Red;London North GLH;Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					300180						1		1.58			ENSG00000157399	ENSG00000157399	HGNC:719													
ASAH1	gene	ASAH1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					613468						1		1.58			ENSG00000104763	ENSG00000104763	HGNC:735													
ASL	gene	ASL	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608310						1		1.58			ENSG00000126522	ENSG00000126522	HGNC:746													
ASPA	gene	ASPA	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608034						1		1.58			ENSG00000108381	ENSG00000108381	HGNC:756													
ASS1	gene	ASS1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					603470						1		1.58			ENSG00000130707	ENSG00000130707	HGNC:758													
ATAD3A	gene	ATAD3A	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					612316						1		1.58			ENSG00000197785	ENSG00000197785	HGNC:25567													
ATIC	gene	ATIC	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					601731						1		1.58			ENSG00000138363	ENSG00000138363	HGNC:794													
ATN1	gene	ATN1	South West GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dentatorubro-pallidoluysian atrophy, 125370	607462						1		1.58			ENSG00000111676	ENSG00000111676	HGNC:3033													
ATP6AP1	gene	ATP6AP1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					300197						1		1.58			ENSG00000071553	ENSG00000071553	HGNC:868													
ATP6V0A2	gene	ATP6V0A2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					611716						1		1.58			ENSG00000185344	ENSG00000185344	HGNC:18481													
ATP7A	gene	ATP7A	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					300011						1		1.58			ENSG00000165240	ENSG00000165240	HGNC:869													
ATP8A2	gene	ATP8A2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					605870						1		1.58			ENSG00000132932	ENSG00000132932	HGNC:13533													
ATP8B1	gene	ATP8B1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					602397						1		1.58			ENSG00000081923	ENSG00000081923	HGNC:3706													
ATPAF2	gene	ATPAF2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					608918						1		1.58			ENSG00000171953	ENSG00000171953	HGNC:18802													
B3GALNT2	gene	B3GALNT2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610194						1		1.58			ENSG00000162885	ENSG00000162885	HGNC:28596													
B3GALT6	gene	B3GALT6	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					615291						1		1.58			ENSG00000176022	ENSG00000176022	HGNC:17978													
B3GAT3	gene	B3GAT3	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606374						1		1.58			ENSG00000149541	ENSG00000149541	HGNC:923													
B3GLCT	gene	B3GLCT	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610308						1		1.58			ENSG00000187676	ENSG00000187676	HGNC:20207													
B4GALT1	gene	B4GALT1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					137060						1		1.58			ENSG00000086062	ENSG00000086062	HGNC:924													
B4GALT7	gene	B4GALT7	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					604327						1		1.58			ENSG00000027847	ENSG00000027847	HGNC:930													
B4GAT1	gene	B4GAT1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					605517						1		1.58			ENSG00000174684	ENSG00000174684	HGNC:15685													
B9D2	gene	B9D2	PanelApp;Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Meckel syndrome;Joubert syndrome;Meckel syndrome 10, 614175;ciliopathies	611951			26092869 - two further cases with Joubert syndrome reported from two different families;21763481 - two affected fetuses form the same family displayed overlapping phenotypes including cystic kidneys, ductal plate malformation, polydactyly, and occipital encephalocele. Homozygous variant identified in this gene, which was not present in the unaffected son. Homozygous variants were not identified in other known Meckel syndrome genes			1		1.58			ENSG00000123810	ENSG00000123810	HGNC:28636													
BAAT	gene	BAAT	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					602938						1		1.58			ENSG00000136881	ENSG00000136881	HGNC:932													
BBS1	gene	BBS1	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					209901						1		1.58			ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610148						1		1.58			ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					610683						1		1.58			ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					606151						1		1.58			ENSG00000125124	ENSG00000125124	HGNC:967													
BBS4	gene	BBS4	Expert Review Red;London North GLH	Childhood onset dystonia or chorea or related movement disorder					600374						1		1.58			ENSG00000140463	ENSG00000140463	HGNC:969													
